Index,Name,Description,Cuisine,Features,Price,AverageReviewScore,NumberOfReviews
0,Sauced BBQ & Spirits - Sacramento,,Southern,"Outdoor seating, Delivery, Takeout",None,3.7 ,1.6k reviews
1,Queen-Status Urban Difference Restaurant,"We are brand new and now open for business and taking orders We are a soul food restaurant who does things a little bit different. We want you to come eat, enjoy and embrace your…",Food Delivery Services,Delivery,None,,
2,Pocha House,"Our bartender, Felicia was very attentive and kind! She served us quickly and welcomed us as soon as we came in :)",Korean,"Outdoor seating, Takeout",$$,4.2 ,idtown
3,Hidden Dumpling House Midtown,"This place is REALLY good. Well worth the wait, I don't think people should complain about having to wait a long time to get a table if it's always packed. The…",Chinese,"Waitlist opens at 11:00 am, Outdoor seating, Delivery, Takeout",$$,3.8 ,idtown
4,The Rind,I went there for a last minute gathering one of the Managers was able to put together a nice charcuterie board for to-go for me! She was very Nice willingly to…,American (New),"Outdoor seating, Takeout",$$,4.4 ,idtown
5,Seoul St Midtown,Great people great food the bartenders are just good people nice to talk to and take care of you,Korean,"Outdoor seating, Delivery, Takeout",$$,4.3 ,owntown
6,Buddha Belly Burger,"Vegan, without all the pomp and circumstance!

I won't lie, any time I find myself patronizing a 'vegan' restaurant, I go in a little hesitant.

I WAS WRONG…",Burgers,"Outdoor seating, Delivery, Takeout",$$,4.7 ,idtown
7,Historic Star Lounge,"Great ambiance, food, drinks, and service! A great find in the Sacramento area. Menu and drinks change frequently, and I'm always excited to get in and try…",Lounges,"Outdoor seating, Delivery",None,4.4 ,idtown
8,Adamo’s,"Came to town to visit a friend and decided we wanted pasta!

Oh mannnnnn! This was divine!

So first of all they make EVERYTHING in house (besides the tomatoes…",American (New),"Outdoor seating, Delivery, Takeout",$$,4.2 ,idtown
9,Cafeteria 15L,"Nice ambience, the pancakes were good. Food service was quick but drink refills slow. Whatever you do DONT order the bottomless mimosas  they come in a plastic…",Breakfast & Brunch,"Outdoor seating, Delivery, Takeout",$$,3.9 ,owntown
10,Fieldwork Brewing Company,"Friendly service and very good food. Pita with hummus and papitas is excellent. Wonderdul ioad and sours, always leave with a few for home. Please update the…",Breweries,"Outdoor seating, Delivery, Takeout",$$,4.4 ,idtown
11, Frog & Slim,"Had a great dinner. The service was good. A place I would recommend UNTIL I checked the bill!  
The martini was 14.00 with an additional $2.00 charge for the…",American (New),"Outdoor seating, Delivery, Takeout",$$,4.6 ,owntown
12,Teriyaki Madness,"Teriyaki Madness serves up crazy delicious, fresh Japanese-inspired Teriyaki bowls, full of flavor: Chicken, Steak, Tofu, Veggies, Noodles, Rice, Fried Rice. Customize your bowl. We…",Noodles,"Outdoor seating, Delivery, Takeout",None,,
